Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Destiny Udogie,2025-11-23,Arsenal,Tottenham Hotspur,6.5,90,9819.0,17.0,109.1,0,0,0.0,0.0,29,36,0,0,0,0,8,64,0,1.73
Destiny Udogie,2025-11-26,Paris Saint-Germain,Tottenham Hotspur,6.8,13,1390.0,2.0,106.92,0,0,0.0,0.0,3,3,1,0,0,0,1,3,0,1.44
Destiny Udogie,2025-11-29,Tottenham Hotspur,Fulham,6.3,85,9185.0,19.0,108.06,0,0,0.08,0.04,33,37,2,0,2,0,2,56,0,2.07
Destiny Udogie,2025-12-02,Newcastle United,Tottenham Hotspur,5.9,90,9731.0,17.0,108.12,0,0,0.0,0.01,30,36,0,0,0,0,5,52,0,1.75
Destiny Udogie,2026-01-10,Tottenham Hotspur,Aston Villa,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Destiny Udogie,2026-01-17,Tottenham Hotspur,West Ham United,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Destiny Udogie,2026-01-20,Tottenham Hotspur,Borussia Dortmund,7.6,90,9894.0,19.0,109.93,0,0,0.0,0.07,59,65,1,0,1,0,8,82,0,1.92
Destiny Udogie,2026-01-24,Burnley,Tottenham Hotspur,6.2,45,4872.0,9.0,108.27,0,0,0.0,0.05,18,22,0,0,0,0,2,29,0,1.85
Destiny Udogie,2026-01-28,Eintracht Frankfurt,Tottenham Hotspur,6.6,89,9605.0,23.0,107.92,0,0,0.0,0.02,29,29,0,0,4,0,5,47,0,2.39
Destiny Udogie,2026-02-01,Tottenham Hotspur,Manchester City,6.8,90,9744.0,17.0,108.27,0,0,0.06,0.02,34,39,0,0,0,0,5,55,0,1.74
Destiny Udogie,2026-02-07,Manchester United,Tottenham Hotspur,6.5,55,5939.0,11.0,107.98,0,0,0.0,0.12,15,19,1,0,0,0,2,33,0,1.85
Destiny Udogie,2026-03-18,Tottenham Hotspur,Atlético Madrid,6.1,24,2596.0,5.0,108.17,0,0,0.0,0.01,13,13,0,0,0,0,0,18,0,1.93
Destiny Udogie,2026-03-22,Tottenham Hotspur,Nottingham Forest,6.1,45,4893.0,9.0,108.73,0,0,0.0,0.14,21,23,1,0,0,0,2,34,0,1.84
Destiny Udogie,2026-04-12,Sunderland,Tottenham Hotspur,6.5,90,9727.0,19.0,108.08,0,0,0.0,0.04,25,33,1,0,1,0,4,54,0,1.95
Destiny Udogie,2026-04-18,Tottenham Hotspur,Brighton & Hove Albion,6.4,76,8160.0,15.0,107.37,0,0,0.0,0.0,13,15,0,0,0,0,3,34,0,1.84
