Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity,Age
Tyler Morton,2026-01-29,Olympique Lyonnais,PAOK,7.1,45,4860.0,9.0,108.0,0,0,0.02,0.01,37,41,0,0,0,0,1,48,0,1.85,23
Tyler Morton,2026-02-04,Olympique Lyonnais,Stade Lavallois,7.6,79,8532.0,16.0,108.0,0,0,0.0,0.0,77,89,1,0,0,0,9,96,0,1.88,23
Tyler Morton,2026-02-07,Nantes,Olympique Lyonnais,7.5,90,9720.0,18.0,108.0,0,0,0.0,0.28,50,56,1,0,0,0,5,72,0,1.85,23
Tyler Morton,2026-02-15,Olympique Lyonnais,Nice,7.5,90,9720.0,18.0,108.0,0,0,0.05,0.03,68,75,1,0,1,0,2,88,0,1.85,23
Tyler Morton,2026-02-22,RC Strasbourg,Olympique Lyonnais,6.6,90,9720.0,18.0,108.0,0,0,0.0,0.01,50,55,0,0,2,0,2,61,0,1.85,23
Tyler Morton,2026-03-01,Olympique de Marseille,Olympique Lyonnais,7.2,90,9720.0,18.0,108.0,0,0,0.0,0.02,46,50,0,0,0,0,4,65,0,1.85,23
Tyler Morton,2026-03-05,Olympique Lyonnais,RC Lens,6.9,90,9720.0,18.0,108.0,0,0,0.0,0.0,55,59,0,0,1,0,6,70,0,1.85,23
Tyler Morton,2026-03-08,Olympique Lyonnais,Paris FC,7.4,90,9720.0,18.0,108.0,0,0,0.0,0.27,74,83,2,0,0,0,7,90,0,1.85,23
Tyler Morton,2026-03-12,Celta Vigo,Olympique Lyonnais,7.1,85,9180.0,17.0,108.0,0,0,0.03,0.12,96,103,0,0,0,0,6,111,0,1.85,23
Tyler Morton,2026-03-15,Le Havre,Olympique Lyonnais,7.0,90,9720.0,18.0,108.0,0,0,0.14,0.06,50,57,0,0,1,0,7,77,0,1.85,23
Tyler Morton,2026-03-19,Olympique Lyonnais,Celta Vigo,6.9,82,8856.0,16.0,108.0,0,0,0.0,0.13,21,25,1,0,0,0,3,31,0,1.81,23
Tyler Morton,2026-04-05,Angers,Olympique Lyonnais,7.8,90,9720.0,18.0,108.0,0,0,0.11,0.13,71,80,1,0,0,0,12,92,0,1.85,23
Tyler Morton,2026-04-12,Olympique Lyonnais,Lorient,7.4,82,8856.0,16.0,108.0,0,0,0.0,0.04,39,47,0,0,3,0,2,58,0,1.81,23
Tyler Morton,2026-04-19,Paris Saint-Germain,Olympique Lyonnais,6.6,90,9720.0,18.0,108.0,0,0,0.0,0.0,23,33,0,0,0,0,5,40,0,1.85,23
Tyler Morton,2026-04-25,Olympique Lyonnais,Auxerre,6.9,58,6264.0,12.0,108.0,0,0,0.03,0.31,32,36,0,0,1,0,3,45,0,1.92,23
