Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Enzo Fernández,2026-02-07,Wolverhampton,Chelsea,6.2,90,9903.0,17.0,110.03,0,0,0.59,0.43,67,75,3,0,0,0,5,93,0,1.72
Enzo Fernández,2026-02-10,Chelsea,Leeds United,7.9,90,9903.0,17.0,110.03,0,0,0.13,0.69,77,84,5,0,0,0,3,99,0,1.72
Enzo Fernández,2026-02-13,Hull City,Chelsea,6.6,30,3356.0,6.0,111.87,0,0,0.0,0.0,36,40,1,0,0,0,2,43,0,1.79
Enzo Fernández,2026-02-21,Chelsea,Burnley,6.0,90,9731.0,19.0,108.12,0,0,0.09,0.03,42,52,0,0,1,0,3,58,0,1.95
Enzo Fernández,2026-03-01,Arsenal,Chelsea,6.7,86,9332.0,19.0,108.51,0,0,0.04,0.01,32,42,0,0,2,0,5,57,0,2.04
Enzo Fernández,2026-03-04,Aston Villa,Chelsea,7.3,79,8618.0,15.0,109.09,0,0,0.04,0.47,42,45,3,0,0,0,8,53,0,1.74
Enzo Fernández,2026-03-11,Paris Saint-Germain,Chelsea,7.4,90,9735.0,20.0,108.17,1,0,0.69,0.08,29,37,2,0,2,0,6,50,0,2.05
Enzo Fernández,2026-03-14,Chelsea,Newcastle United,7.2,90,9891.0,20.0,109.9,0,0,0.09,0.15,72,80,2,0,2,0,3,96,0,2.02
Enzo Fernández,2026-03-17,Chelsea,Paris Saint-Germain,6.4,60,6506.0,12.0,108.43,0,0,0.04,0.14,31,36,1,0,0,0,1,46,0,1.84
Enzo Fernández,2026-03-21,Everton,Chelsea,6.6,90,9996.0,17.0,111.07,0,0,0.37,0.19,85,94,2,0,0,0,4,118,0,1.7
Enzo Fernández,2026-03-28,Argentina,Mauritania,7.8,56,6207.0,11.0,110.84,1,0,0.0,0.0,55,59,0,0,0,0,3,69,0,1.77
Enzo Fernández,2026-04-01,Argentina,Zambia,7.4,74,8244.0,16.0,111.41,0,0,0.0,0.0,90,93,0,0,1,0,4,101,0,1.94
Enzo Fernández,2026-04-18,Chelsea,Manchester United,7.6,88,9697.0,21.0,110.19,0,0,0.37,0.22,72,81,5,0,3,0,4,97,0,2.17
Enzo Fernández,2026-04-21,Brighton & Hove Albion,Chelsea,6.3,90,9719.0,17.0,107.99,0,0,0.0,0.2,44,53,1,0,0,0,1,61,0,1.75
Enzo Fernández,2026-04-26,Chelsea,Leeds United,8.6,90,9832.0,17.0,109.24,1,0,0.0,0.0,49,59,3,0,0,0,4,79,0,1.73
