Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity,Age
Matías Vecino,2026-01-30,Lazio,Genoa,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,34
Matías Vecino,2026-02-06,Celta Vigo,Osasuna,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,34
Matías Vecino,2026-02-14,Espanyol,Celta Vigo,6.8,11,1188.0,2.0,108.0,0,0,0.0,0.03,12,14,0,0,0,0,0,14,0.0,1.68,34
Matías Vecino,2026-02-19,PAOK,Celta Vigo,6.4,10,1080.0,2.0,108.0,0,0,0.0,0.0,3,3,0,0,0,0,0,4,0.0,1.85,34
Matías Vecino,2026-02-22,Celta Vigo,Mallorca,6.8,69,7452.0,14.0,108.0,0,0,0.08,0.01,30,40,0,0,2,0,2,49,0.0,1.88,34
Matías Vecino,2026-02-26,Celta Vigo,PAOK,6.6,90,9720.0,18.0,108.0,0,0,0.12,0.03,45,51,0,0,0,0,4,60,0.0,1.85,34
Matías Vecino,2026-03-01,Girona FC,Celta Vigo,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,34
Matías Vecino,2026-03-06,Celta Vigo,Real Madrid,,1,108.0,0.0,108.0,0,0,0.0,0.0,3,3,0,0,0,0,0,5,0.0,0.0,34
Matías Vecino,2026-03-12,Celta Vigo,Olympique Lyonnais,6.8,90,9720.0,18.0,108.0,0,0,0.0,0.01,24,26,0,0,0,0,5,39,0.0,1.85,34
Matías Vecino,2026-03-15,Real Betis,Celta Vigo,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,34
Matías Vecino,2026-03-19,Olympique Lyonnais,Celta Vigo,6.7,81,8748.0,16.0,108.0,0,0,0.0,0.05,51,53,0,0,1,0,2,59,0.0,1.83,34
Matías Vecino,2026-04-09,SC Freiburg,Celta Vigo,6.5,29,3132.0,6.0,108.0,0,0,0.0,0.01,17,24,0,0,0,0,3,31,0.0,1.92,34
Matías Vecino,2026-04-12,Celta Vigo,Real Oviedo,6.6,45,4860.0,9.0,108.0,0,0,0.0,0.04,26,29,0,0,0,0,3,34,0.0,1.85,34
Matías Vecino,2026-04-16,Celta Vigo,SC Freiburg,6.0,64,6912.0,13.0,108.0,0,0,0.0,0.01,22,27,0,0,1,0,4,34,0.0,1.88,34
Matías Vecino,2026-04-22,FC Barcelona,Celta Vigo,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,34
