Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Folarin Balogun,2026-02-08,Nice,AS Monaco,5.2,90,,,0.0,0,0,0.28,0.01,16,21,0,0,0,0,3,27
Folarin Balogun,2026-02-13,AS Monaco,Nantes,6.4,76,,,0.0,0,0,0.24,0.01,7,12,0,0,0,0,4,25
Folarin Balogun,2026-02-17,AS Monaco,Paris Saint-Germain,8.0,83,,,0.0,2,0,1.08,0.01,12,16,0,0,1,0,1,29
Folarin Balogun,2026-02-21,RC Lens,AS Monaco,7.8,85,,,0.0,1,0,0.89,0.01,9,11,0,0,0,0,2,19
Folarin Balogun,2026-02-25,Paris Saint-Germain,AS Monaco,6.3,74,,,0.0,0,0,0.05,0.02,11,20,0,0,0,0,3,27
Folarin Balogun,2026-02-28,AS Monaco,Angers,7.6,73,,,0.0,1,0,0.48,0.26,10,11,2,0,0,0,0,19
Folarin Balogun,2026-03-06,Paris Saint-Germain,AS Monaco,7.6,81,,,0.0,1,1,0.02,0.0,6,8,1,0,0,0,4,20
Folarin Balogun,2026-03-14,AS Monaco,Stade Brestois,7.4,70,,,0.0,1,0,1.19,0.02,14,18,0,0,0,0,0,36
Folarin Balogun,2026-03-22,Olympique Lyonnais,AS Monaco,6.0,85,,,0.0,1,0,1.67,0.04,11,15,0,0,0,0,2,30
Folarin Balogun,2026-03-28,USA,Belgium,6.3,71,,,0.0,0,0,0.0,0.0,9,11,0,0,0,0,2,14
Folarin Balogun,2026-04-01,USA,Portugal,6.4,23,,,0.0,0,0,0.0,0.0,2,3,0,0,0,0,0,5
Folarin Balogun,2026-04-05,AS Monaco,Olympique de Marseille,7.7,84,,,0.0,1,0,0.07,0.15,6,10,1,0,1,0,1,25
Folarin Balogun,2026-04-10,Paris FC,AS Monaco,7.3,90,,,0.0,1,0,1.22,0.24,13,16,2,0,0,0,0,26
Folarin Balogun,2026-04-19,AS Monaco,Auxerre,7.0,88,,,0.0,1,0,1.24,0.0,7,10,0,0,0,0,0,21
Folarin Balogun,2026-04-25,Toulouse,AS Monaco,6.5,84,,,0.0,0,0,0.0,0.09,9,11,2,0,0,0,1,16
