Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity,Age
Pablo Ibáñez,2026-01-18,Atlético Madrid,Deportivo Alavés,6.1,55,5940.0,11.0,108.0,0,0,0.0,0.01,14,19,0,0,0,0,1,34,0,1.85,28
Pablo Ibáñez,2026-01-25,Deportivo Alavés,Real Betis,6.9,89,9612.0,18.0,108.0,0,0,0.12,0.33,29,35,2,0,0,0,6,54,0,1.87,28
Pablo Ibáñez,2026-01-30,Espanyol,Deportivo Alavés,6.7,90,9720.0,18.0,108.0,0,0,0.32,0.03,37,41,1,0,1,0,5,59,0,1.85,28
Pablo Ibáñez,2026-02-04,Deportivo Alavés,Real Sociedad,6.1,19,2052.0,4.0,108.0,0,0,0.0,0.0,9,15,0,0,0,0,1,18,0,1.95,28
Pablo Ibáñez,2026-02-08,Deportivo Alavés,Getafe,6.2,59,6372.0,12.0,108.0,0,0,0.0,0.02,11,17,0,0,0,0,2,35,0,1.88,28
Pablo Ibáñez,2026-02-14,Sevilla,Deportivo Alavés,6.9,45,4860.0,9.0,108.0,0,0,0.04,0.04,36,39,1,0,0,0,6,46,0,1.85,28
Pablo Ibáñez,2026-02-23,Deportivo Alavés,Girona FC,6.7,76,8208.0,15.0,108.0,0,0,0.12,0.01,33,40,0,0,0,0,6,56,0,1.83,28
Pablo Ibáñez,2026-02-27,Levante UD,Deportivo Alavés,7.1,90,9720.0,18.0,108.0,0,0,0.06,0.05,35,41,2,0,1,0,5,67,0,1.85,28
Pablo Ibáñez,2026-03-13,Deportivo Alavés,Villarreal,6.7,90,9720.0,18.0,108.0,0,0,0.03,0.01,30,34,0,0,1,0,6,49,0,1.85,28
Pablo Ibáñez,2026-03-22,Celta Vigo,Deportivo Alavés,6.4,45,4860.0,9.0,108.0,0,0,0.03,0.01,18,18,0,0,0,0,3,27,0,1.85,28
Pablo Ibáñez,2026-04-05,Deportivo Alavés,Osasuna,7.1,81,8748.0,16.0,108.0,0,0,0.23,0.03,29,31,2,0,1,0,9,54,0,1.83,28
Pablo Ibáñez,2026-04-11,Real Sociedad,Deportivo Alavés,5.9,66,7128.0,13.0,108.0,0,0,0.0,0.02,19,25,1,0,2,0,2,37,0,1.82,28
Pablo Ibáñez,2026-04-21,Real Madrid,Deportivo Alavés,7.0,32,3456.0,6.0,108.0,0,0,0.06,0.06,20,22,1,0,2,0,3,38,0,1.74,28
Pablo Ibáñez,2026-04-25,Deportivo Alavés,Mallorca,6.7,90,9720.0,18.0,108.0,0,0,0.09,0.03,46,52,1,0,0,0,4,69,0,1.85,28
