Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Murillo,23,2026-01-29,Nottingham Forest,Ferencváros TC,6.8,12,1296.0,2.0,108.0,0,0,0.0,0.0,5,5,0,0,0,0,1,7,0.0,1.54
Murillo,23,2026-02-01,Nottingham Forest,Crystal Palace,7.2,90,9720.0,18.0,108.0,0,0,0.0,0.01,27,30,1,0,1,0,8,45,0.0,1.85
Murillo,23,2026-02-19,Fenerbahçe,Nottingham Forest,8.0,90,9720.0,18.0,108.0,1,0,0.08,0.01,40,49,1,0,2,0,3,58,0.0,1.85
Murillo,23,2026-02-22,Nottingham Forest,Liverpool,7.1,90,9720.0,18.0,108.0,0,0,0.1,0.02,38,44,1,0,0,0,6,58,0.0,1.85
Murillo,23,2026-02-26,Nottingham Forest,Fenerbahçe,6.2,45,4860.0,9.0,108.0,0,0,0.0,0.0,24,29,0,0,1,0,5,40,0.0,1.85
Murillo,23,2026-03-01,Brighton & Hove Albion,Nottingham Forest,6.4,90,9720.0,18.0,108.0,0,0,0.0,0.0,60,66,0,0,0,0,6,82,0.0,1.85
Murillo,23,2026-03-04,Manchester City,Nottingham Forest,7.2,90,9720.0,18.0,108.0,0,0,0.0,0.0,27,33,0,0,1,0,2,47,0.0,1.85
Murillo,23,2026-03-12,Nottingham Forest,FC Midtjylland,6.6,90,9720.0,18.0,108.0,0,0,0.06,0.04,49,60,1,0,1,0,5,65,0.0,1.85
Murillo,23,2026-03-15,Nottingham Forest,Fulham,6.9,90,9720.0,18.0,108.0,0,0,0.02,0.01,47,56,1,0,1,0,4,67,0.0,1.85
Murillo,23,2026-03-19,FC Midtjylland,Nottingham Forest,6.2,59,6372.0,12.0,108.0,0,0,0.0,0.0,16,20,1,0,0,0,2,28,0.0,1.88
Murillo,23,2026-03-22,Tottenham Hotspur,Nottingham Forest,7.2,90,9720.0,18.0,108.0,0,0,0.0,0.0,33,46,0,0,2,0,4,60,0.0,1.85
Murillo,23,2026-04-09,FC Porto,Nottingham Forest,6.3,45,4860.0,9.0,108.0,0,0,0.0,0.0,27,27,0,0,0,0,1,32,0.0,1.85
Murillo,23,2026-04-12,Nottingham Forest,Aston Villa,5.8,90,9720.0,18.0,108.0,0,0,0.13,0.01,41,50,0,0,2,0,1,64,0.0,1.85
Murillo,23,2026-04-16,Nottingham Forest,FC Porto,7.0,72,7776.0,14.0,108.0,0,0,0.12,0.04,40,43,0,0,2,0,3,57,0.0,1.8
Murillo,23,2026-04-19,Nottingham Forest,Burnley,7.3,42,4536.0,8.0,108.0,0,0,0.0,0.0,27,31,0,0,1,0,3,42,0.0,1.76
Murillo,23,2026-05-07,Aston Villa,Nottingham Forest,,2,,,0.0,0,0,0.0,0.0,3,4,0,0,0,0,0,4,,
