Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Jimmy Sinclair,2026-01-26,Nottingham Forest U21,Reading U21,,90,9450.0,17.0,105.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.8
Jimmy Sinclair,2026-01-29,Nottingham Forest,Ferencváros TC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Jimmy Sinclair,2026-01-30,Derby County U21,Nottingham Forest U21,,90,9450.0,17.0,105.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.8
Jimmy Sinclair,2026-02-03,Nottingham Forest U21,Real Sociedad B U21,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Jimmy Sinclair,2026-02-07,Nottingham Forest U21,West Bromwich Albion U21,,90,9450.0,17.0,105.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.8
Jimmy Sinclair,2026-02-16,Middlesbrough U21,Nottingham Forest U21,,90,9450.0,17.0,105.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.8
Jimmy Sinclair,2026-02-20,Nottingham Forest U21,Liverpool U21,,90,9450.0,17.0,105.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.8
Jimmy Sinclair,2026-02-27,Manchester City U21,Nottingham Forest U21,,90,9450.0,17.0,105.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.8
Jimmy Sinclair,2026-03-06,Nottingham Forest U21,Southampton U21,,70,7350.0,13.0,105.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.77
Jimmy Sinclair,2026-03-13,Fulham U21,Nottingham Forest U21,,85,8925.0,16.0,105.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.79
Jimmy Sinclair,2026-03-19,FC Midtjylland,Nottingham Forest,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Jimmy Sinclair,2026-03-20,Nottingham Forest U21,Newcastle United U21,,90,9450.0,17.0,105.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.8
Jimmy Sinclair,2026-04-03,Nottingham Forest U21,Crystal Palace U21,,90,9450.0,17.0,105.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.8
Jimmy Sinclair,2026-04-09,FC Porto,Nottingham Forest,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Jimmy Sinclair,2026-04-16,Nottingham Forest,FC Porto,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
