Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Djibril Sidibé,2026-02-01,Toulouse,Auxerre,6.6,73,,,0.0,0,0,0.0,0.07,12,18,0,0,0,0,1,26
Djibril Sidibé,2026-02-04,Toulouse,Amiens SC,6.9,9,,,0.0,0,0,0.0,0.0,2,2,0,0,0,0,1,4
Djibril Sidibé,2026-02-08,Angers,Toulouse,6.4,90,,,0.0,0,0,0.0,0.01,52,60,0,0,0,0,6,75
Djibril Sidibé,2026-02-15,Le Havre,Toulouse,7.5,83,,,0.0,1,0,0.51,0.1,49,58,1,0,0,0,6,71
Djibril Sidibé,2026-02-21,Toulouse,Paris FC,6.6,90,,,0.0,0,0,0.0,0.04,52,61,1,0,0,0,4,79
Djibril Sidibé,2026-02-28,Stade Rennais,Toulouse,6.7,90,,,0.0,0,0,0.0,0.02,36,49,1,0,5,0,8,76
Djibril Sidibé,2026-03-04,Olympique de Marseille,Toulouse,7.0,90,,,0.0,0,0,0.0,0.0,20,26,1,0,1,0,1,44
Djibril Sidibé,2026-03-07,Toulouse,Olympique de Marseille,6.6,90,,,0.0,0,0,0.0,0.01,37,45,0,0,1,0,3,60
Djibril Sidibé,2026-03-15,Metz,Toulouse,5.8,90,,,0.0,0,0,0.0,0.05,45,52,1,0,2,0,2,63
Djibril Sidibé,2026-03-21,Toulouse,Lorient,7.3,84,,,0.0,0,0,0.0,0.04,30,34,0,0,1,0,3,51
Djibril Sidibé,2026-04-03,Paris Saint-Germain,Toulouse,6.6,83,,,0.0,0,0,0.0,0.33,19,27,1,0,1,0,3,45
Djibril Sidibé,2026-04-12,Toulouse,Lille,6.8,59,,,0.0,0,0,0.37,0.01,9,16,0,0,0,0,2,30
Djibril Sidibé,2026-04-17,RC Lens,Toulouse,6.5,18,,,0.0,0,0,0.0,0.0,1,1,0,0,0,0,0,6
Djibril Sidibé,2026-04-21,RC Lens,Toulouse,6.6,64,,,0.0,0,0,0.0,0.0,15,18,0,0,3,0,4,31
Djibril Sidibé,2026-04-25,Toulouse,AS Monaco,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
