Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Toni Martínez,2026-01-18,Atlético Madrid,Deportivo Alavés,6.3,55,5880.0,11.0,106.91,0,0,0.02,0.0,7,13,0,0,0,0,1,22,0,1.87
Toni Martínez,2026-01-25,Deportivo Alavés,Real Betis,8.0,72,7770.0,15.0,107.92,1,0,0.53,0.03,16,26,4,0,1,0,2,44,0,1.93
Toni Martínez,2026-01-30,Espanyol,Deportivo Alavés,7.3,74,7984.0,14.0,107.89,0,0,0.14,0.55,12,20,2,0,0,0,3,42,0,1.75
Toni Martínez,2026-02-04,Deportivo Alavés,Real Sociedad,7.2,90,9618.0,17.0,106.87,1,0,0.0,0.0,15,22,0,0,0,0,1,37,0,1.77
Toni Martínez,2026-02-08,Deportivo Alavés,Getafe,6.7,59,6296.0,11.0,106.71,0,0,0.52,0.01,10,14,0,0,0,0,0,24,0,1.75
Toni Martínez,2026-02-14,Sevilla,Deportivo Alavés,8.2,90,9614.0,17.0,106.82,1,0,0.39,0.04,12,22,1,0,0,0,1,36,0,1.77
Toni Martínez,2026-02-23,Deportivo Alavés,Girona FC,6.3,90,9672.0,17.0,107.47,0,0,0.4,0.09,9,20,1,0,0,0,6,35,0,1.76
Toni Martínez,2026-02-27,Levante UD,Deportivo Alavés,6.8,63,6816.0,12.0,108.19,0,0,0.23,0.14,14,24,0,0,0,0,4,36,0,1.76
Toni Martínez,2026-03-08,Valencia,Deportivo Alavés,7.2,84,8975.0,16.0,106.85,0,0,0.0,0.02,17,26,0,0,0,0,2,31,0,1.78
Toni Martínez,2026-03-13,Deportivo Alavés,Villarreal,7.1,89,9584.0,17.0,107.69,0,0,0.06,0.04,14,23,2,0,0,0,5,42,0,1.77
Toni Martínez,2026-03-22,Celta Vigo,Deportivo Alavés,9.3,89,9630.0,17.0,108.2,2,0,0.66,0.26,19,26,2,0,0,0,7,47,0,1.77
Toni Martínez,2026-04-05,Deportivo Alavés,Osasuna,7.7,90,9580.0,17.0,106.44,1,0,0.54,0.01,11,22,1,0,0,0,0,31,0,1.77
Toni Martínez,2026-04-11,Real Sociedad,Deportivo Alavés,6.7,90,9655.0,17.0,107.28,0,0,0.27,0.05,15,22,1,0,0,0,6,31,0,1.76
Toni Martínez,2026-04-21,Real Madrid,Deportivo Alavés,6.5,90,9656.0,17.0,107.29,1,0,0.92,0.09,19,30,2,0,0,0,2,43,0,1.76
Toni Martínez,2026-04-25,Deportivo Alavés,Mallorca,9.3,81,8673.0,16.0,107.07,2,0,0.31,0.48,19,21,1,0,0,0,2,34,0,1.84
