Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Abdoulaye Faye,2025-08-30,Lorient,Lille,4.3,90,9777.0,20.0,108.63,0,0,0.07,0.01,39,46,0,0,2,0,5,63,0,2.05
Abdoulaye Faye,2025-09-12,Olympique de Marseille,Lorient,5.8,90,9647.0,20.0,107.19,0,0,0.03,0.0,31,36,0,0,2,0,0,47,0,2.07
Abdoulaye Faye,2025-09-21,Le Havre,Lorient,7.2,90,9790.0,20.0,108.78,0,0,0.1,0.02,48,55,0,0,2,0,2,75,0,2.04
Abdoulaye Faye,2025-09-27,Lorient,AS Monaco,6.7,90,9832.0,22.0,109.24,0,0,0.0,0.02,61,68,0,0,3,0,3,82,0,2.24
Abdoulaye Faye,2025-10-03,Paris FC,Lorient,7.4,79,8673.0,17.0,109.78,0,0,0.0,0.03,56,64,0,0,1,0,4,78,0,1.96
Abdoulaye Faye,2025-10-19,Lorient,Stade Brestois,6.2,90,9736.0,20.0,108.18,0,0,0.27,0.01,42,50,0,0,2,0,1,65,0,2.05
Abdoulaye Faye,2026-01-10,Hauts Lyonnais,Lorient,6.7,29,3146.0,6.0,108.48,0,0,0.0,0.0,20,23,0,0,0,0,0,24,0,1.91
Abdoulaye Faye,2026-03-04,Lorient,Nice,7.5,18,1940.0,3.0,107.78,0,0,0.0,0.0,6,7,0,0,0,0,0,12,0,1.55
Abdoulaye Faye,2026-03-08,Lille,Lorient,6.6,90,9807.0,22.0,108.97,0,0,0.0,0.0,44,55,0,0,3,0,4,73,0,2.24
Abdoulaye Faye,2026-03-14,Lorient,RC Lens,6.4,90,9652.0,19.0,107.24,0,0,0.0,0.0,19,25,0,0,1,0,1,45,0,1.97
Abdoulaye Faye,2026-03-21,Toulouse,Lorient,6.8,90,9962.0,22.0,110.69,0,0,0.0,0.01,74,81,0,0,3,0,8,98,0,2.21
Abdoulaye Faye,2026-04-05,Lorient,Paris FC,7.2,90,9861.0,22.0,109.57,0,0,0.1,0.01,50,54,0,0,3,0,6,80,0,2.23
Abdoulaye Faye,2026-04-12,Olympique Lyonnais,Lorient,6.9,90,9786.0,17.0,108.73,0,0,0.0,0.01,48,55,1,0,0,0,3,71,0,1.74
Abdoulaye Faye,2026-04-18,Lorient,Olympique de Marseille,7.1,90,9773.0,19.0,108.59,0,0,0.0,0.01,31,40,0,0,1,0,4,65,0,1.94
Abdoulaye Faye,2026-04-26,Lorient,RC Strasbourg,6.2,90,9719.0,19.0,107.99,0,0,0.02,0.0,38,45,0,0,1,0,2,58,0,1.95
