Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity,Age
Nilson Angulo,2025-12-13,RSC Anderlecht,Sint-Truidense VV,7.6,90,9720.0,18.0,108.0,1,0,1.0,0.11,22,30,2,0,2,0,4,68,0,1.85,22
Nilson Angulo,2025-12-21,Royal Antwerp FC,RSC Anderlecht,5.9,90,9720.0,18.0,108.0,0,0,0.0,0.04,12,21,1,0,0,0,6,45,0,1.85,22
Nilson Angulo,2025-12-26,RSC Anderlecht,RC Sporting Charleroi,6.5,90,9720.0,18.0,108.0,0,0,0.0,0.25,34,42,3,0,1,0,5,81,0,1.85,22
Nilson Angulo,2026-01-18,KAA Gent,RSC Anderlecht,9.0,90,9720.0,18.0,108.0,2,0,0.85,0.02,22,27,1,0,0,0,0,40,0,1.85,22
Nilson Angulo,2026-01-25,RSC Anderlecht,FCV Dender,7.0,90,9720.0,18.0,108.0,0,0,0.0,0.28,13,22,1,0,0,0,3,46,0,1.85,22
Nilson Angulo,2026-02-01,Standard Liège,RSC Anderlecht,7.2,90,9720.0,18.0,108.0,0,0,0.52,0.59,24,33,1,0,2,0,5,65,0,1.85,22
Nilson Angulo,2026-02-07,Arsenal,Sunderland,6.5,12,1296.0,2.0,108.0,0,0,0.0,0.02,2,3,1,0,0,0,0,5,0,1.54,22
Nilson Angulo,2026-02-11,Sunderland,Liverpool,6.7,80,8640.0,16.0,108.0,0,0,0.21,0.02,11,14,1,0,1,0,1,34,0,1.85,22
Nilson Angulo,2026-02-15,Oxford United,Sunderland,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,22
Nilson Angulo,2026-02-22,Sunderland,Fulham,5.8,70,7560.0,14.0,108.0,0,0,0.28,0.01,10,13,0,0,0,0,0,26,0,1.85,22
Nilson Angulo,2026-02-28,Bournemouth,Sunderland,6.7,14,1512.0,3.0,108.0,0,0,0.0,0.02,2,5,0,0,1,0,2,16,0,1.98,22
Nilson Angulo,2026-03-03,Leeds United,Sunderland,6.7,88,9504.0,18.0,108.0,0,0,0.0,0.01,3,6,0,0,0,0,3,28,0,1.89,22
Nilson Angulo,2026-03-08,Port Vale,Sunderland,6.6,90,9720.0,18.0,108.0,0,0,0.0,0.0,20,28,1,0,0,0,2,50,0,1.85,22
