Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Max Kilman,28,2026-01-06,West Ham United,Nottingham Forest,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Max Kilman,28,2026-01-11,West Ham United,Queens Park Rangers,7.7,120,12960.0,24.0,108.0,0,0,0.0,0.0,106,115,0,0,2,0,5,140,0.0,1.85
Max Kilman,28,2026-01-17,Tottenham Hotspur,West Ham United,,1,108.0,0.0,108.0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0.0,0.0
Max Kilman,28,2026-01-24,West Ham United,Sunderland,,1,108.0,0.0,108.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Max Kilman,28,2026-01-31,Chelsea,West Ham United,6.1,24,2592.0,5.0,108.0,0,0,0.0,0.0,6,9,0,0,1,0,1,15,0.0,1.93
Max Kilman,28,2026-02-07,Burnley,West Ham United,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Max Kilman,28,2026-02-10,West Ham United,Manchester United,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Max Kilman,28,2026-02-14,Burton Albion,West Ham United,7.5,120,12960.0,24.0,108.0,0,0,0.0,0.0,82,91,0,0,0,0,2,110,0.0,1.85
Max Kilman,28,2026-02-21,West Ham United,Bournemouth,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Max Kilman,28,2026-02-28,Liverpool,West Ham United,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Max Kilman,28,2026-03-04,Fulham,West Ham United,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Max Kilman,28,2026-03-09,West Ham United,Brentford,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Max Kilman,28,2026-03-14,West Ham United,Manchester City,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Max Kilman,28,2026-03-22,Aston Villa,West Ham United,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Max Kilman,28,2026-04-05,West Ham United,Leeds United,6.4,120,12960.0,24.0,108.0,0,0,0.0,0.0,74,82,1,0,0,0,4,102,0.0,1.85
Max Kilman,28,2026-05-10,West Ham United,Arsenal,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,
