Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity,Age
Manu Morlanes,2025-12-13,Mallorca,Elche,7.4,71,7668.0,14.0,108.0,1,0,0.4,0.02,28,31,2,0,1,0,4,38,0,1.83,27
Manu Morlanes,2025-12-19,Valencia,Mallorca,6.6,57,6156.0,11.0,108.0,0,0,0.0,0.0,21,21,0,0,0,0,2,23,0,1.79,27
Manu Morlanes,2026-01-04,Mallorca,Girona FC,7.3,45,4860.0,9.0,108.0,0,0,0.0,0.01,12,14,0,0,2,0,1,26,0,1.85,27
Manu Morlanes,2026-02-02,Mallorca,Sevilla,6.6,14,1512.0,3.0,108.0,0,0,0.0,0.0,4,6,0,0,0,0,2,8,0,1.98,27
Manu Morlanes,2026-02-07,FC Barcelona,Mallorca,6.6,13,1404.0,3.0,108.0,0,0,0.0,0.01,4,5,1,0,0,0,0,6,0,2.14,27
Manu Morlanes,2026-02-15,Mallorca,Real Betis,7.5,45,4860.0,9.0,108.0,0,0,0.0,0.09,68,72,1,0,0,0,3,74,0,1.85,27
Manu Morlanes,2026-02-22,Celta Vigo,Mallorca,6.3,21,2268.0,4.0,108.0,0,0,0.0,0.0,10,10,0,0,0,0,1,11,0,1.76,27
Manu Morlanes,2026-02-28,Mallorca,Real Sociedad,6.6,11,1188.0,2.0,108.0,0,0,0.0,0.0,14,15,0,0,0,0,0,16,0,1.68,27
Manu Morlanes,2026-03-07,Osasuna,Mallorca,6.7,63,6804.0,13.0,108.0,0,0,0.04,0.02,38,40,1,0,0,0,3,45,0,1.91,27
Manu Morlanes,2026-03-15,Mallorca,Espanyol,6.9,57,6156.0,11.0,108.0,0,0,0.03,0.01,34,37,0,0,0,0,2,46,0,1.79,27
Manu Morlanes,2026-03-21,Elche,Mallorca,6.6,25,2700.0,5.0,108.0,0,0,0.0,0.01,20,20,1,0,0,0,1,27,0,1.85,27
Manu Morlanes,2026-04-04,Mallorca,Real Madrid,7.4,70,7560.0,14.0,108.0,1,0,0.99,0.01,15,16,0,0,2,0,0,25,0,1.85,27
Manu Morlanes,2026-04-12,Mallorca,Rayo Vallecano,6.7,81,8748.0,16.0,108.0,0,0,0.1,0.01,24,31,1,0,1,0,3,42,0,1.83,27
Manu Morlanes,2026-04-21,Mallorca,Valencia,6.9,76,8208.0,15.0,108.0,0,0,0.02,0.04,41,50,2,0,1,0,5,60,0,1.83,27
Manu Morlanes,2026-04-25,Deportivo Alavés,Mallorca,7.1,20,2160.0,4.0,108.0,0,0,0.09,0.01,9,10,0,0,0,0,0,19,0,1.85,27
