Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Lucas Gourna-Douath,22,2026-01-06,Red Bull Salzburg,FC Bayern München,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Lucas Gourna-Douath,22,2026-01-10,Raków Częstochowa,Red Bull Salzburg,7.0,28,3024.0,6.0,108.0,0,0,0.0,0.0,38,40,0,0,0,0,1,42,0.0,1.98
Lucas Gourna-Douath,22,2026-01-24,Le Havre,AS Monaco,7.1,90,9720.0,18.0,108.0,0,0,0.0,0.02,25,30,1,0,3,0,6,44,0.0,1.85
Lucas Gourna-Douath,22,2026-01-30,RC Lens,Le Havre,7.0,90,9720.0,18.0,108.0,0,0,0.06,0.03,41,49,0,0,1,0,7,67,0.0,1.85
Lucas Gourna-Douath,22,2026-02-08,Le Havre,RC Strasbourg,6.8,90,9720.0,18.0,108.0,0,0,0.0,0.01,38,42,1,0,0,0,6,59,0.0,1.85
Lucas Gourna-Douath,22,2026-02-15,Le Havre,Toulouse,6.9,90,9720.0,18.0,108.0,0,0,0.0,0.01,12,12,0,0,2,0,2,29,0.0,1.85
Lucas Gourna-Douath,22,2026-02-22,Nantes,Le Havre,6.5,90,9720.0,18.0,108.0,0,0,0.0,0.01,60,69,0,0,0,0,5,87,0.0,1.85
Lucas Gourna-Douath,22,2026-02-28,Le Havre,Paris Saint-Germain,6.4,84,9072.0,17.0,108.0,0,0,0.04,0.04,31,37,0,0,0,0,6,52,0.0,1.87
Lucas Gourna-Douath,22,2026-03-08,Stade Brestois,Le Havre,7.4,90,9720.0,18.0,108.0,0,0,0.0,0.03,55,62,1,0,2,0,10,75,0.0,1.85
Lucas Gourna-Douath,22,2026-03-15,Le Havre,Olympique Lyonnais,7.1,90,9720.0,18.0,108.0,0,0,0.02,0.03,17,18,0,0,1,0,5,37,0.0,1.85
Lucas Gourna-Douath,22,2026-03-22,Paris FC,Le Havre,6.8,89,9612.0,18.0,108.0,0,0,0.03,0.06,49,53,1,0,1,0,6,63,0.0,1.87
Lucas Gourna-Douath,22,2026-04-05,Le Havre,Auxerre,7.0,90,9720.0,18.0,108.0,0,0,0.01,0.01,29,31,1,0,0,0,4,45,0.0,1.85
Lucas Gourna-Douath,22,2026-04-12,Nice,Le Havre,6.7,90,9720.0,18.0,108.0,0,0,0.03,0.02,34,43,0,0,1,0,6,56,0.0,1.85
Lucas Gourna-Douath,22,2026-04-18,Angers,Le Havre,6.9,68,7344.0,14.0,108.0,0,0,0.0,0.08,27,27,1,0,2,0,7,38,0.0,1.91
Lucas Gourna-Douath,22,2026-04-26,Le Havre,Metz,6.4,45,4860.0,9.0,108.0,0,0,0.0,0.0,15,23,0,0,0,0,5,35,0.0,1.85
Lucas Gourna-Douath,22,2026-05-03,Lille,Le Havre,6.9,90,,,0.0,0,0,0.0,0.0,22,28,0,0,1,0,7,44,,
Lucas Gourna-Douath,22,2026-05-10,Le Havre,Olympique de Marseille,6.5,89,,,0.0,0,0,0.03,0.01,32,36,0,0,0,0,8,50,,
